timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1616025600000,5,4,4,4,3,5,203,191,46,144,159,390,143
1616112000000,4,4,4,4,3,5,202,187,47,144,154,389,143
1616198400000,5,5,5,4,3,5,201,188,47,144,153,390,143
1616284800000,5,5,5,4,3,5,198,185,47,141,148,387,140
1616371200000,5,5,5,5,3,5,197,186,47,134,140,384,134
1616457600000,5,5,5,4,3,5,196,189,47,130,137,381,135
1616544000000,5,5,5,5,3,5,196,191,47,130,136,380,136
1616630400000,5,5,5,5,3,5,196,190,47,132,136,378,138
1616716800000,5,5,5,4,3,5,195,190,47,133,138,375,141
1616803200000,5,5,5,4,3,5,195,188,47,134,140,372,142
1616889600000,5,5,5,5,3,6,194,187,47,136,138,370,142
1616976000000,5,5,5,5,3,5,193,187,46,136,140,369,141
1617062400000,5,5,5,4,3,5,193,187,45,133,142,368,140
1617148800000,5,5,5,5,3,5,193,186,44,132,141,369,140
1617235200000,5,5,5,5,3,5,192,185,44,132,140,371,140
1617321600000,5,5,5,5,3,5,192,185,45,133,140,374,140
1617408000000,5,5,5,5,3,5,191,184,46,132,140,378,140
1617494400000,5,5,5,5,3,6,191,183,46,127,140,380,142
1617580800000,5,5,5,5,3,5,192,182,46,128,142,381,141
1617667200000,5,5,5,4,3,5,193,183,46,126,140,382,141
1617753600000,5,5,5,4,3,5,192,183,45,125,143,382,142
1617840000000,5,5,5,4,3,6,191,181,44,126,144,382,142
1617926400000,5,5,5,5,3,6,191,180,44,123,141,382,142
1618012800000,5,5,5,4,3,5,190,179,44,119,142,380,140
1618099200000,5,5,5,4,2,6,189,178,45,115,147,379,141
1618185600000,5,5,5,5,3,6,189,177,45,114,148,377,141
1618272000000,5,5,5,5,3,5,188,177,46,112,150,377,142
1618358400000,5,5,5,5,3,6,187,175,45,115,150,377,143
1618444800000,5,5,5,5,3,6,186,174,44,117,148,377,144
1618531200000,5,5,5,4,3,5,186,174,44,117,147,377,144
1618617600000,5,5,5,5,3,5,186,173,44,117,146,375,145
1618704000000,5,5,5,5,3,5,186,172,45,117,144,374,146
1618790400000,5,5,5,5,3,4,186,172,45,117,138,372,146
1618876800000,5,5,5,5,3,5,185,170,44,118,131,369,146
1618963200000,5,5,5,5,3,5,184,169,44,117,124,368,146
1619049600000,5,5,5,5,3,5,184,168,43,116,117,366,147
1619136000000,5,4,5,5,3,5,184,168,42,115,111,365,146
1619222400000,5,4,5,5,3,5,183,166,42,116,106,364,146
1619308800000,5,5,5,5,3,6,182,167,41,117,103,364,145
1619395200000,5,5,5,4,3,5,182,170,40,117,105,362,144
1619481600000,5,5,5,4,3,5,182,173,40,118,109,360,144
1619568000000,5,5,5,5,3,5,180,174,41,118,114,358,143
1619654400000,5,5,5,5,3,5,179,176,41,117,120,358,143
1619740800000,5,5,5,4,3,5,179,176,42,118,126,357,144
1619827200000,5,5,5,5,3,5,179,174,43,119,127,358,148
1619913600000,5,5,5,5,3,5,182,172,44,117,127,359,147
1620000000000,5,5,5,5,3,5,184,170,45,113,131,363,144
1620086400000,5,5,5,5,3,5,187,170,45,114,130,363,144
1620172800000,5,5,5,5,3,5,189,167,46,115,128,362,144
1620259200000,5,5,5,5,3,5,191,166,45,116,126,361,144
1620345600000,5,5,5,5,3,6,192,166,45,117,122,356,143
1620432000000,5,5,5,5,3,5,189,164,45,117,118,352,144
1620518400000,5,5,5,5,3,6,190,164,44,116,118,350,144
1620604800000,5,4,5,4,3,6,191,165,43,116,118,347,143
1620691200000,5,5,5,5,3,5,193,166,43,114,115,344,143
1620777600000,5,5,5,5,3,6,195,166,44,116,114,343,145
1620864000000,5,5,5,5,3,5,195,165,44,119,113,340,144
1620950400000,5,5,5,5,3,5,196,169,45,119,113,340,144
1621036800000,5,5,5,5,3,5,197,170,46,119,114,340,144
